latitude,longitude,spp_richness,N_dep_kghayr,precip_mm,temp_C_ave,pH,CL_kghayr_lower,CL_kghayr_upper,CL_kghayr,EX_kghayr,two_class_veg,NVC_1_name,NVC_2_name,NVC_Alliance,proj_orig
35.4,-83.1,33,10.24,1467.68,11,5.3,12.63,14.37,13.42,-3.18,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,31,10.24,1467.68,11,5.4,12.72,14.51,13.52,-3.29,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,30,10.24,1529.02,10.47,5.2,12.45,14.1,13.2,-2.96,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,32,10.24,1513.33,10.51,5.2,12.26,13.84,12.98,-2.75,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,34,10.24,1529.02,10.47,5.2,12.35,13.97,13.09,-2.85,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,26,10.24,1529.02,10.47,5.2,12.26,13.84,12.98,-2.75,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,38,10.24,1467.68,11,5.8,13.44,15.57,14.39,-4.16,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,38,10.24,1467.68,11,5.7,13.17,15.17,14.07,-3.83,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,6,10.24,1529.02,10.47,5,12.08,13.59,12.76,-2.53,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,22,10.24,1529.02,10.47,5.2,12.26,13.84,12.98,-2.75,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,12,10.24,1480.19,11.23,5.1,12.17,13.71,12.87,-2.64,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,26,10.32,1546,10.4,5.3,12.54,14.24,13.31,-2.99,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,27,10.24,1467.68,11,5.2,12.45,14.1,13.2,-2.96,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,16,10.24,1526.84,11.03,5,11.89,13.33,12.55,-2.31,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,28,10.24,1467.68,11,5.1,12.17,13.71,12.87,-2.64,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,25,10.24,1559.79,10.32,5,12.08,13.59,12.76,-2.53,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,36,10.24,1467.68,11,5.2,12.26,13.84,12.98,-2.75,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,18,10.24,1526.84,11.03,5,11.98,13.46,12.66,-2.42,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,14,10.24,1529.02,10.47,5.3,12.54,14.24,13.31,-3.07,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,22,10.32,1517.37,10.67,5.5,12.9,14.77,13.74,-3.42,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,18,10.24,1467.68,11,5.3,12.54,14.24,13.31,-3.07,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35,-79.9,14,9.89,1162.55,16.51,5,12.02,13.51,12.7,-2.81,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.1,-79.6,2,10.6,1174.19,16.11,3.9,6.93,8.24,7.59,3.01,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
35,-79.5,9,10.32,1174.02,16.23,4.4,7.2,8.47,7.84,2.48,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
35,-79.5,15,10.32,1174.02,16.23,4.6,7.31,8.56,7.93,2.39,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
35,-79.5,16,10.32,1174.99,16.21,4.8,7.42,8.65,8.03,2.29,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
35,-79.5,16,10.32,1174.99,16.21,4.9,7.47,8.7,8.08,2.24,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
34.9,-79.6,13,10.18,1177.78,16.34,5.5,7.78,8.96,8.37,1.81,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
35,-79.5,13,10.32,1174.99,16.21,4.8,7.39,8.63,8.01,2.31,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
35,-79.9,24,9.89,1162.24,16.57,6.4,14.46,17.14,15.65,-5.77,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.2,-79.1,6,10.37,1173.92,16.46,4.5,10.89,12.1,11.46,-1.09,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.2,-79.1,6,10.37,1173.92,16.46,4.1,10.2,11.37,10.77,-0.4,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
